File Creation Time UTC,2021-09-05 15:29:44
SW Name,iID®DataCaptureSoftware
SW Version,v01.06
SW BuildDate,2019-11-28
SW StartTime,2021-09-05 14:24:05
Lib Version,v1.6.1
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,MPC
,,DataGetDelay_Seconds,15

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB30E12
,0x10,200192,D0.22,98.26.01,2
,0x11,200061,D0.21,98.05.11,2


Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2
2021-09-05 15:29:32.055,10,200192,25SQCMICSBB58A00058A6,,DPC,2021-09-05 15:29:17.600,2021-09-05 15:29:20.300,8,Unknown,,x
2021-09-05 15:31:02.383,10,200192,25SQCMICSBB58A00058A6,,DPC,2021-09-05 15:30:56.000,2021-09-05 15:30:59.600,10,Arriving,x,x
2021-09-05 16:44:31.492,10,200192,25SQCMICSBBB55C005BED,,DPC,2021-09-05 16:44:16.700,2021-09-05 16:44:23.000,22,Arriving,x,x
2021-09-05 16:57:19.008,10,200192,25SQCMICSBB58A00058A6,,DPC,2021-09-05 16:57:06.900,2021-09-05 16:57:18.900,30,Departing,x,x
2021-09-05 16:57:49.055,10,200192,25SQCMICSBB58A00058A6,,DPC,2021-09-05 16:57:37.000,2021-09-05 16:57:46.900,34,Arriving,x,x
2021-09-05 16:58:04.196,10,200192,25SQCMICSBB58A00058A6,,DPC,2021-09-05 16:57:58.000,2021-09-05 16:57:58.300,2,Unknown,x,
2021-09-05 17:09:51.446,10,200192,25SQCMICSBBB55C005BED,,DPC,2021-09-05 17:09:38.400,2021-09-05 17:09:38.400,1,Unknown,,x
2021-09-05 17:10:21.617,10,200192,25SQCMICSBBB55C005BED,,DPC,2021-09-05 17:10:06.800,2021-09-05 17:10:21.200,40,Unknown,,x
2021-09-05 17:10:36.649,10,200192,25SQCMICSBBB55C005BED,,DPC,2021-09-05 17:10:26.300,2021-09-05 17:10:36.500,28,Arriving,x,x
2021-09-05 17:10:51.680,10,200192,25SQCMICSBBB55C005BED,,DPC,2021-09-05 17:10:36.900,2021-09-05 17:10:37.500,3,Unknown,,x
2021-09-05 17:16:22.836,10,200192,25SQCMICSBB58A00058A6,,DPC,2021-09-05 17:16:16.400,2021-09-05 17:16:17.900,5,Unknown,,x
2021-09-05 17:17:23.055,10,200192,25SQCMICSBB58A00058A6,,DPC,2021-09-05 17:17:13.900,2021-09-05 17:17:16.000,8,Arriving,x,x
2021-09-05 17:18:23.821,11,200061,25SQCMICSBB3D5E0058EE,,DPC,2021-09-05 17:18:15.900,2021-09-05 17:18:21.300,17,Departing,x,x
2021-09-05 17:18:38.821,11,200061,25SQCMICSBB3D5E0058EE,,DPC,2021-09-05 17:18:27.100,2021-09-05 17:18:31.300,8,Arriving,x,x
2021-09-05 17:19:23.961,11,200061,25SQCMICSBB3D5E0058EE,,DPC,2021-09-05 17:19:10.700,2021-09-05 17:19:19.100,14,Departing,x,x
2021-09-05 17:19:39.133,11,200061,25SQCMICSBB3D5E0058EE,,DPC,2021-09-05 17:19:25.400,2021-09-05 17:19:31.400,15,Departing,x,x
2021-09-05 17:22:24.617,11,200061,25SQCMICSBB3D5E0058EE,,DPC,2021-09-05 17:22:13.400,2021-09-05 17:22:24.500,25,Departing,x,x
2021-09-05 17:22:39.649,11,200061,25SQCMICSBB3D5E0058EE,,DPC,2021-09-05 17:22:24.900,2021-09-05 17:22:30.000,13,Departing,x,x
2021-09-05 17:43:28.211,10,200192,25SQCMICSBBB55C005BED,,DPC,2021-09-05 17:43:13.400,2021-09-05 17:43:27.500,20,Departing,x,x
2021-09-05 17:43:28.805,11,200061,25SQCMICSBBA7C4005865,,DPC,2021-09-05 17:43:17.700,2021-09-05 17:43:22.500,4,Unknown,,x
2021-09-05 17:53:00.117,10,200192,25SQCMICSBB58A00058A6,,DPC,2021-09-05 17:52:57.300,2021-09-05 17:53:00.000,7,Departing,x,x
2021-09-05 18:15:34.336,10,200192,25SQCMICSBB987E0058A4,,DPC,2021-09-05 18:15:22.800,2021-09-05 18:15:22.800,1,Unknown,x,
2021-09-05 18:16:04.414,10,200192,25SQCMICSBB94F6005BFF,,DPC,2021-09-05 18:15:55.600,2021-09-05 18:16:03.700,7,Departing,x,x
2021-09-05 18:16:19.539,10,200192,25SQCMICSBB94F6005BFF,,DPC,2021-09-05 18:16:05.300,2021-09-05 18:16:06.200,3,Unknown,x,
2021-09-05 18:19:35.102,10,200192,25SQCMICSBB94F6005BFF,,DPC,2021-09-05 18:19:24.200,2021-09-05 18:19:25.400,5,Arriving,x,x
2021-09-05 18:21:35.461,10,200192,25SQCMICSBBB2D70057C5,,DPC,2021-09-05 18:21:28.700,2021-09-05 18:21:34.400,17,Departing,x,x
