File Creation Time UTC,2021-06-08 17:47:27
SW Name,iID®DataCaptureSoftware
SW Version,v01.06
SW BuildDate,2019-11-28
SW StartTime,2021-05-18 12:15:39
Lib Version,v1.6.1
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,MPC
,,DataGetDelay_Seconds,15

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB30E12
,0x10,200192,D0.22,98.26.01,2


Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2
2021-06-08 17:59:41.697,10,200192,25SQCMICSBB4934005476,,DPC,2021-06-08 17:59:28.400,2021-06-08 17:59:31.700,8,Departing,x,x
2021-06-08 18:00:26.854,10,200192,25SQCMICSBB4934005476,,DPC,2021-06-08 18:00:22.600,2021-06-08 18:00:26.800,10,Arriving,x,x
2021-06-08 18:07:28.432,10,200192,25SQCMICSBBA851005684,,DPC,2021-06-08 18:07:27.400,2021-06-08 18:07:28.000,3,Unknown,,x
2021-06-08 18:15:29.822,10,200192,25SQCMICSBB97BE005668,,DPC,2021-06-08 18:15:24.600,2021-06-08 18:15:24.600,1,Unknown,,x
2021-06-08 18:16:30.057,10,200192,25SQCMICSBB97BE005668,,DPC,2021-06-08 18:16:17.700,2021-06-08 18:16:23.100,10,Unknown,,x
2021-06-08 18:16:45.166,10,200192,25SQCMICSBB97BE005668,,DPC,2021-06-08 18:16:34.200,2021-06-08 18:16:44.100,12,Departing,x,x
2021-06-08 18:17:00.213,10,200192,25SQCMICSBB97BE005668,,DPC,2021-06-08 18:16:45.400,2021-06-08 18:16:45.400,1,Unknown,x,
2021-06-08 18:23:16.369,10,200192,25SQCMICSBBAB8D005680,,DPC,2021-06-08 18:23:13.600,2021-06-08 18:23:15.100,4,Unknown,,x
2021-06-08 18:23:31.400,10,200192,25SQCMICSBBAB8D005680,,DPC,2021-06-08 18:23:17.500,2021-06-08 18:23:19.600,7,Departing,x,x
2021-06-08 18:26:16.885,10,200192,25SQCMICSBBED13005587,,DPC,2021-06-08 18:26:13.500,2021-06-08 18:26:16.800,10,Departing,x,x
