File Creation Time UTC,2021-06-12 17:47:44
SW Name,iID®DataCaptureSoftware
SW Version,v01.06
SW BuildDate,2019-11-28
SW StartTime,2021-05-18 12:15:39
Lib Version,v1.6.1
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,MPC
,,DataGetDelay_Seconds,15

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB30E12
,0x10,200192,D0.22,98.26.01,2


Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2
2021-06-12 17:47:48.822,10,200192,25SQCMICSBB8ACE005546,,DPC,2021-06-12 17:47:40.700,2021-06-12 17:47:42.800,5,Arriving,x,x
2021-06-12 17:47:48.822,10,200192,25SQCMICSBB93780055BE,,DPC,2021-06-12 17:47:41.000,2021-06-12 17:47:42.800,4,Departing,x,x
2021-06-12 17:48:03.916,10,200192,25SQCMICSBB54FD0056AC,,DPC,2021-06-12 17:47:57.500,2021-06-12 17:47:59.300,7,Departing,x,x
2021-06-12 17:48:18.963,10,200192,25SQCMICSBB93780055BE,,DPC,2021-06-12 17:48:16.100,2021-06-12 17:48:16.100,1,Unknown,,x
2021-06-12 17:48:33.994,10,200192,25SQCMICSBB295A0055B1,,DPC,2021-06-12 17:48:25.200,2021-06-12 17:48:28.200,7,Departing,x,x
2021-06-12 17:49:19.182,10,200192,25SQCMICSBB153900577F,,DPC,2021-06-12 17:49:12.200,2021-06-12 17:49:16.400,9,Departing,x,x
2021-06-12 17:49:34.338,10,200192,25SQCMICSBB54FD0056AC,,DPC,2021-06-12 17:49:19.500,2021-06-12 17:49:29.100,21,Arriving,x,x
2021-06-12 17:49:49.385,10,200192,25SQCMICSBB295A0055B1,,DPC,2021-06-12 17:49:45.000,2021-06-12 17:49:49.200,5,Arriving,x,x
2021-06-12 17:50:04.432,10,200192,25SQCMICSBB295A0055B1,,DPC,2021-06-12 17:49:49.700,2021-06-12 17:50:03.200,11,Arriving,x,x
2021-06-12 17:50:04.432,10,200192,25SQCMICSBB153900577F,,DPC,2021-06-12 17:49:52.100,2021-06-12 17:49:54.200,8,Arriving,x,x
2021-06-12 17:50:19.525,10,200192,25SQCMICSBB295A0055B1,,DPC,2021-06-12 17:50:06.500,2021-06-12 17:50:06.500,1,Unknown,,x
2021-06-12 17:50:34.557,10,200192,25SQCMICSBB295A0055B1,,DPC,2021-06-12 17:50:21.200,2021-06-12 17:50:29.900,16,Arriving,x,x
2021-06-12 17:52:04.807,10,200192,25SQCMICSBBA95600573D,,DPC,2021-06-12 17:51:55.400,2021-06-12 17:52:04.400,18,Departing,x,x
2021-06-12 17:52:04.807,10,200192,25SQCMICSBB6C19005774,,DPC,2021-06-12 17:51:56.000,2021-06-12 17:51:56.300,2,Unknown,,x
2021-06-12 17:52:19.869,10,200192,25SQCMICSBBD5E60056BB,,DPC,2021-06-12 17:52:07.200,2021-06-12 17:52:07.500,2,Unknown,,x
2021-06-12 17:56:05.494,10,200192,25SQCMICSBB6C19005774,,DPC,2021-06-12 17:56:01.800,2021-06-12 17:56:04.500,10,Arriving,x,x
2021-06-12 17:56:50.619,10,200192,25SQCMICSBBA95600573D,,DPC,2021-06-12 17:56:46.700,2021-06-12 17:56:47.300,3,Arriving,x,x
2021-06-12 17:57:20.775,10,200192,25SQCMICSBB2A9300549C,,DPC,2021-06-12 17:57:14.600,2021-06-12 17:57:20.900,18,Departing,x,x
2021-06-12 17:57:35.807,10,200192,25SQCMICSBB2A9300549C,,DPC,2021-06-12 17:57:21.000,2021-06-12 17:57:30.000,29,Unknown,x,
2021-06-12 17:58:20.947,10,200192,25SQCMICSBBED13005587,,DPC,2021-06-12 17:58:16.000,2021-06-12 17:58:19.900,13,Departing,x,x
2021-06-12 18:00:06.197,10,200192,25SQCMICSBBED13005587,,DPC,2021-06-12 17:59:52.400,2021-06-12 17:59:52.700,2,Arriving,x,x
2021-06-12 18:01:21.494,10,200192,25SQCMICSBB9384005767,,DPC,2021-06-12 18:01:11.800,2021-06-12 18:01:21.700,8,Arriving,x,x
2021-06-12 18:01:36.541,10,200192,25SQCMICSBB9384005767,,DPC,2021-06-12 18:01:23.800,2021-06-12 18:01:23.800,1,Unknown,x,
