File Creation Time UTC,5/18/2021 17:46,,,,,,,,,,,,,,,,,
SW Name,iID®DataCaptureSoftware,,,,,,,,,,,,,,,,,
SW Version,v01.06,,,,,,,,,,,,,,,,,
SW BuildDate,11/28/2019,,,,,,,,,,,,,,,,,
SW StartTime,5/18/2021 12:15,,,,,,,,,,,,,,,,,
Lib Version,v1.6.1,,,,,,,,,,,,,,,,,
Company,Micro-Sensys GmbH,,,,,,,,,,,,,,,,,
OS Version,v10.0.17763.865,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,
,Scan mode,MPC,,,,,,,,,,,,,,,,
,,DataGetDelay_Seconds,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Found Hardware,,,,,,,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,,,,,,
,0x01,25SQCMICSCB30E12,,,,,,,,,,,,,,,,
,0x10,200192,D0.22,98.26.01,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,,,,,,
17:46:29,10,200192,25SQCMICSBBD07C003569,,DPC,19:46.4,19:59.3,23,Departing,x,x,,,20:19:59,,,,17:46:29
17:46:44,10,200192,25SQCMICSBBD07C003569,,DPC,19:59.7,20:00.3,3,Unknown,x,,,,20:20:14,,,,17:46:44
17:52:00,10,200192,25SQCMICSBB4934005476,,DPC,20:51.1,20:51.1,1,Unknown,x,,,,20:21:00,,,,17:52:00
18:35:08,10,200192,25SQCMICSBB8080003891,,DPC,21:32.6,21:39.2,15,Arriving,x,x,,,20:21:45,,,,18:35:08
18:35:23,10,200192,25SQCMICSBB196C00099D,,DPC,23:51.7,23:54.4,8,Departing,x,x,,,20:24:00,,,,18:35:23
18:40:39,10,200192,25SQCMICSBB9552003CEF,,DPC,29:03.9,29:12.6,5,Departing,x,x,,,20:29:16,,,,18:40:39
18:40:39,10,200192,25SQCMICSBB8080003891,,DPC,29:18.1,29:25.6,16,Arriving,x,x,,,20:29:31,,,,18:40:39
18:40:54,10,200192,25SQCMICSBB8080003891,,DPC,29:33.7,29:33.7,1,Unknown,,x,,,20:29:46,,,,18:40:54
18:41:09,10,200192,25SQCMICSBB9552003CEF,,DPC,29:34.6,29:35.8,5,Arriving,x,x,,,20:29:46,,,,18:41:09
18:41:09,10,200192,25SQCMICSBBF5A20054E4,,DPC,30:46.9,30:48.4,6,Unknown,,x,,,20:31:02,,,,18:41:09
18:45:55,10,200192,25SQCMICSBBCCEC0055B8,,DPC,31:10.6,31:16.3,16,Departing,x,x,,,20:31:17,,,,18:45:55
18:46:10,10,200192,25SQCMICSBBCCEC0055B8,,DPC,31:17.0,31:22.1,17,Arriving,x,x,,,20:31:32,,,,18:46:10
18:46:25,10,200192,25SQCMICSBBF5A20054E4,,DPC,31:31.7,31:31.7,1,Unknown,x,,,,20:31:32,,,,18:46:25
18:46:40,10,200192,25SQCMICSBBF5A20054E4,,DPC,31:32.1,31:34.5,9,Arriving,x,x,,,20:31:47,,,,18:46:40
18:52:26,10,200192,25SQCMICSBBD2BD0055AF,,DPC,31:45.0,31:45.9,2,Unknown,,x,,,20:31:47,,,,18:52:26
18:52:41,10,200192,25SQCMICSBB1C0B003D0B,,DPC,31:50.7,31:53.4,10,Departing,x,x,,,20:32:02,,,,18:52:41
18:53:11,10,200192,25SQCMICSBBD2BD0055AF,,DPC,31:52.2,32:01.8,28,Unknown,,x,,,20:32:02,,,,18:53:11
18:53:26,10,200192,25SQCMICSBBD2BD0055AF,,DPC,32:02.3,32:09.8,22,Departing,x,x,,,20:32:17,,,,18:53:26
18:53:26,10,200192,25SQCMICSBB96110054E1,,DPC,32:10.1,32:16.7,23,Departing,x,x,,,20:32:17,,,,18:53:26
18:55:57,10,200192,25SQCMICSBB4DB70054CB,,DPC,32:14.6,32:17.0,9,Unknown,,x,,,20:32:17,,,,18:55:57
18:55:57,10,200192,25SQCMICSBB4DB70054CB,,DPC,32:17.3,32:21.8,16,Departing,x,x,,,20:32:32,,,,18:55:57
18:56:12,10,200192,25SQCMICSBB1C0B003D0B,,DPC,32:28.7,32:29.9,5,Arriving,x,x,,,20:32:32,,,,18:56:12
18:56:27,10,200192,25SQCMICSBBD2BD0055AF,,DPC,32:32.7,32:34.2,5,Arriving,x,x,,,20:32:47,,,,18:56:27
18:56:42,10,200192,25SQCMICSBB604C000996,,DPC,32:34.2,32:35.7,4,Departing,x,x,,,20:32:47,,,,18:56:42
18:56:42,10,200192,25SQCMICSBB88F9005524,,DPC,32:47.1,32:47.1,1,Unknown,,x,,,20:32:47,,,,18:56:42
18:56:57,10,200192,25SQCMICSBB88F9005524,,DPC,32:47.5,32:55.0,26,Departing,x,x,,,20:33:02,,,,18:56:57
18:57:12,10,200192,25SQCMICSBB6F790054A9,,DPC,32:54.7,33:00.4,8,Departing,x,x,,,20:33:02,,,,18:57:12
18:57:27,10,200192,25SQCMICSBB4DB70054CB,,DPC,33:05.8,33:07.3,6,Arriving,x,x,,,20:33:17,,,,18:57:27
18:57:42,10,200192,25SQCMICSBBB8C0003D25,,DPC,33:07.6,33:08.8,5,Departing,x,x,,,20:33:17,,,,18:57:42
18:57:57,10,200192,25SQCMICSBB96110054E1,,DPC,34:00.3,34:01.2,4,Arriving,x,x,,,20:34:02,,,,18:57:57
18:58:43,10,200192,25SQCMICSBB4C5C0054ED,,DPC,34:19.6,34:27.1,24,Departing,x,x,,,20:34:33,,,,18:58:43
18:58:58,10,200192,25SQCMICSBBCCEC0055B8,,DPC,34:48.8,34:50.9,4,Unknown,,x,,,20:35:03,,,,18:58:58
18:59:43,10,200192,25SQCMICSBBB8C0003D25,,DPC,35:10.5,35:12.6,8,Arriving,x,x,,,20:35:18,,,,18:59:43
18:59:58,10,200192,25SQCMICSBB4C5C0054ED,,DPC,35:13.5,35:15.0,6,Arriving,x,x,,,20:35:18,,,,18:59:58
17:45:59,10,200192,25SQCMICSBBEAA400576E,,DPC,36:01.7,36:02.9,4,Unknown,,x,,,20:36:03,,,,17:45:59
17:46:14,10,200192,25SQCMICSBBEAA400576E,,DPC,36:03.2,36:11.3,22,Departing,x,x,,,20:36:18,,,,17:46:14
17:46:29,10,200192,25SQCMICSBBF6E1003CEC,,DPC,36:25.7,36:27.8,4,Unknown,,x,,,20:36:33,,,,17:46:29
17:46:44,10,200192,25SQCMICSBBF6E1003CEC,,DPC,36:35.5,36:45.1,31,Departing,x,x,,,20:36:48,,,,17:46:44
17:52:00,10,200192,25SQCMICSBBD51B0055C6,,DPC,37:03.8,37:05.3,5,Departing,x,x,,,20:37:18,,,,17:52:00
18:35:08,10,200192,25SQCMICSBBD51B0055C6,,DPC,37:41.1,37:42.0,4,Arriving,x,x,,,20:37:48,,,,18:35:08
18:35:23,10,200192,25SQCMICSBB884E003544,,DPC,38:19.1,38:33.8,35,Departing,x,x,,,20:38:34,,,,18:35:23
18:40:39,10,200192,25SQCMICSBBF6E1003CEC,,DPC,38:31.1,38:33.8,10,Arriving,x,x,,,20:38:34,,,,18:40:39
18:40:39,10,200192,25SQCMICSBBF6E1003CEC,,DPC,38:33.8,38:38.3,13,Arriving,x,x,,,20:38:49,,,,18:40:39
18:40:54,10,200192,25SQCMICSBB884E003544,,DPC,38:34.4,38:35.6,2,Unknown,x,,,,20:38:49,,,,18:40:54
18:41:09,10,200192,25SQCMICSBB884E003544,,DPC,38:59.1,39:02.1,11,Unknown,x,,,,20:39:04,,,,18:41:09
18:41:09,10,200192,25SQCMICSBBAF1B005772,,DPC,40:13.0,40:19.0,11,Unknown,,x,,,20:40:19,,,,18:41:09
18:45:55,10,200192,25SQCMICSBBAF1B005772,,DPC,40:19.3,40:24.1,17,Departing,x,x,,,20:40:34,,,,18:45:55
18:46:10,10,200192,25SQCMICSBBC52B003866,,DPC,41:05.1,41:08.1,3,Unknown,,x,,,20:41:19,,,,18:46:10
18:46:25,10,200192,25SQCMICSBBF4E4005599,,DPC,53:41.3,53:47.3,6,Departing,x,x,,,20:53:52,,,,18:46:25
18:46:40,10,200192,25SQCMICSBBF4E4005599,,DPC,54:54.8,55:05.3,25,Departing,x,x,,,20:55:07,,,,18:46:40
18:52:26,10,200192,25SQCMICSBBF4E4005599,,DPC,55:07.4,55:09.8,9,Arriving,x,x,,,20:55:22,,,,18:52:26
18:52:41,10,200192,25SQCMICSBBEAA00054A1,,DPC,03:54.5,03:58.4,14,Departing,x,x,,,21:04:09,,,,18:52:41
18:53:11,10,200192,25SQCMICSBBB14E0054C8,,DPC,04:41.4,04:47.1,17,Departing,x,x,,,21:04:54,,,,18:53:11
18:53:26,10,200192,25SQCMICSBB92D30054F8,,DPC,05:26.9,05:39.5,30,Unknown,,x,,,21:05:40,,,,18:53:26
18:53:26,10,200192,25SQCMICSBBEAA00054A1,,DPC,05:30.8,05:31.7,4,Arriving,x,x,,,21:05:40,,,,18:53:26
18:55:57,10,200192,25SQCMICSBB92D30054F8,,DPC,05:39.9,05:52.2,42,Departing,x,x,,,21:05:55,,,,18:55:57
18:55:57,10,200192,25SQCMICSBBFFEB0009A9,,DPC,06:11.5,06:11.8,2,Unknown,,x,,,21:06:25,,,,18:55:57
18:56:12,10,200192,25SQCMICSBBFFEB0009A9,,DPC,06:25.9,06:26.2,2,Unknown,,x,,,21:06:40,,,,18:56:12
18:56:27,10,200192,25SQCMICSBB92D30054F8,,DPC,06:43.1,06:44.0,4,Arriving,x,x,,,21:06:55,,,,18:56:27
18:56:42,10,200192,25SQCMICSBB1C0B003D0B,,DPC,07:38.5,07:39.4,4,Unknown,,x,,,21:07:40,,,,18:56:42
18:56:42,10,200192,25SQCMICSBBF5A3005502,,DPC,07:42.5,07:47.6,13,Departing,x,x,,,21:07:55,,,,18:56:42
18:56:57,10,200192,25SQCMICSBB1C0B003D0B,,DPC,07:51.2,07:55.1,13,Unknown,,x,,,21:07:55,,,,18:56:57
18:57:12,10,200192,25SQCMICSBB1C0B003D0B,,DPC,07:55.4,07:57.2,6,Unknown,,x,,,21:08:10,,,,18:57:12
18:57:27,10,200192,25SQCMICSBBF5A3005502,,DPC,08:22.4,08:22.7,2,Arriving,x,x,,,21:08:25,,,,18:57:27
18:57:42,10,200192,25SQCMICSBBB9300009A7,,DPC,15:32.7,15:36.9,3,Unknown,,x,,,21:15:41,,,,18:57:42
18:57:57,10,200192,25SQCMICSBB6F790054A9,,DPC,16:06.4,16:07.9,6,Arriving,x,x,,,21:16:12,,,,18:57:57
18:58:43,10,200192,25SQCMICSBBB9300009A7,,DPC,16:24.7,16:26.2,6,Arriving,x,x,,,21:16:27,,,,18:58:43
18:58:58,10,200192,25SQCMICSBB884E003544,,DPC,20:36.2,20:37.4,5,Arriving,x,x,,,21:20:43,,,,18:58:58
18:59:43,10,200192,25SQCMICSBBF67F005506,,DPC,23:25.7,23:25.7,1,Unknown,,x,,,21:23:28,,,,18:59:43
18:59:58,10,200192,25SQCMICSBBF67F005506,,DPC,23:31.7,23:34.1,8,Unknown,x,,,,21:23:43,,,,18:59:58
17:45:59,10,200192,25SQCMICSBBF67F005506,,DPC,25:15.0,25:15.9,4,Arriving,x,x,,,21:25:29,,,,17:45:59
17:46:14,10,200192,25SQCMICSBBF31600547B,,DPC,25:16.8,25:17.7,4,Arriving,x,x,,,21:25:29,,,,17:46:14
17:46:29,10,200192,25SQCMICSBB1C0B003D0B,,DPC,30:04.2,30:06.9,10,Unknown,,x,,,21:30:15,,,,17:46:29
17:46:44,10,200192,25SQCMICSBB1C0B003D0B,,DPC,30:43.5,30:44.7,2,Unknown,,x,,,21:30:45,,,,17:46:44
17:52:00,10,200192,25SQCMICSBB604C000996,,DPC,52:35.4,52:39.3,14,Arriving,x,x,,,21:52:49,,,,17:52:00
18:35:08,10,200192,25SQCMICSBB29B2005783,,DPC,07:43.5,07:53.7,32,Departing,x,x,,,11:07:58,,,,18:35:08
18:35:23,10,200192,5_1_tag2,,DPC,24:46.5,24:54.3,11,Unknown,,x,,,12:24:57,,,,18:35:23
18:40:39,10,200192,5_1_tag2,,DPC,27:26.9,27:27.8,4,Unknown,,x,,,12:27:28,,,,18:40:39
18:40:39,10,200192,5_1_tag2,,DPC,27:28.1,27:28.4,2,Unknown,,x,,,12:27:43,,,,18:40:39
18:40:54,10,200192,5_1_tag2,,DPC,27:54.0,27:57.0,11,Unknown,,x,,,12:27:58,,,,18:40:54
18:41:09,10,200192,5_1_tag2,,DPC,27:59.2,28:08.5,9,Departing,x,x,,,12:28:13,,,,18:41:09
18:41:09,10,200192,25SQCMICSBB66F7003D04,,DPC,26:18.2,26:24.2,20,Departing,x,x,,,17:26:24,,,,18:41:09
18:45:55,10,200192,25SQCMICSBB66F7003D04,,DPC,26:24.2,26:24.5,2,Unknown,x,,,,17:26:39,,,,18:45:55
18:46:10,10,200192,25SQCMICSBB66F7003D04,,DPC,27:49.7,27:50.3,3,Arriving,x,x,,,17:27:54,,,,18:46:10
18:46:25,10,200192,25SQCMICSBBC93D0054D1,,DPC,45:31.8,45:36.9,18,Departing,x,x,,,17:45:42,,,,18:46:25
