File Creation Time UTC,2021-04-19 20:02:57
SW Name,iID®DataCaptureSoftware
SW Version,v01.06
SW BuildDate,2019-11-28
SW StartTime,2021-03-07 19:53:23
Lib Version,v1.6.1
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,MPC
,,DataGetDelay_Seconds,15

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB30E12
,0x10,200192,D0.22,98.26.01,2
,0x11,200193,D0.22,98.26.01,2


Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2
2021-04-19 20:04:43.552,10,200192,25SQCMICSBBA18F003D2F,,DPC,2021-04-19 20:04:35.100,2021-04-19 20:04:39.300,14,Departing,x,x
2021-04-19 20:04:43.552,10,200192,25SQCMICSBB338700352F,,DPC,2021-04-19 20:04:35.400,2021-04-19 20:04:43.500,5,Unknown,,x
2021-04-19 20:04:58.630,10,200192,25SQCMICSBB338700352F,,DPC,2021-04-19 20:04:44.400,2021-04-19 20:04:52.800,17,Departing,x,x
2021-04-19 20:09:29.693,10,200192,25SQCMICSBB1BAD003D22,,DPC,2021-04-19 20:09:20.900,2021-04-19 20:09:25.700,10,Departing,x,x
2021-04-19 20:09:59.818,10,200192,25SQCMICSBB8783003D34,,DPC,2021-04-19 20:09:57.000,2021-04-19 20:09:58.800,7,Departing,x,x
2021-04-19 20:10:29.990,10,200192,25SQCMICSBBDF09003D0D,,DPC,2021-04-19 20:10:16.000,2021-04-19 20:10:16.300,2,Unknown,x,
2021-04-19 20:10:29.990,10,200192,25SQCMICSBBACCD003529,,DPC,2021-04-19 20:10:26.800,2021-04-19 20:10:28.600,7,Departing,x,x
2021-04-19 20:10:45.021,10,200192,25SQCMICSBBACCD003529,,DPC,2021-04-19 20:10:30.400,2021-04-19 20:10:30.400,1,Unknown,,x
2021-04-19 20:11:00.052,10,200192,25SQCMICSBB9D10003D3C,,DPC,2021-04-19 20:10:59.400,2021-04-19 20:10:59.400,1,Unknown,,x
2021-04-19 20:11:30.209,10,200192,25SQCMICSBB9D10003D3C,,DPC,2021-04-19 20:11:26.800,2021-04-19 20:11:30.100,11,Unknown,,x
2021-04-19 20:11:45.255,10,200192,25SQCMICSBB9D10003D3C,,DPC,2021-04-19 20:11:30.500,2021-04-19 20:11:45.200,47,Unknown,,x
2021-04-19 20:11:45.255,10,200192,25SQCMICSBBF0790037F2,,DPC,2021-04-19 20:11:31.400,2021-04-19 20:11:45.200,46,Departing,x,x
2021-04-19 20:12:00.380,10,200192,25SQCMICSBBF0790037F2,,DPC,2021-04-19 20:11:45.500,2021-04-19 20:11:47.900,7,Unknown,x,
2021-04-19 20:12:00.380,10,200192,25SQCMICSBB9D10003D3C,,DPC,2021-04-19 20:11:45.500,2021-04-19 20:11:58.400,20,Departing,x,x
2021-04-19 20:13:00.615,10,200192,25SQCMICSBBA18F003D2F,,DPC,2021-04-19 20:12:49.900,2021-04-19 20:12:57.400,25,Arriving,x,x
2021-04-19 20:13:45.818,10,200192,25SQCMICSBBA18F003D2F,,DPC,2021-04-19 20:13:32.200,2021-04-19 20:13:32.200,1,Unknown,,x
2021-04-19 20:14:00.849,10,200192,25SQCMICSBBE04A003D1E,,DPC,2021-04-19 20:13:58.400,2021-04-19 20:14:00.800,8,Unknown,,x
2021-04-19 20:14:15.990,10,200192,25SQCMICSBBE04A003D1E,,DPC,2021-04-19 20:14:01.100,2021-04-19 20:14:08.000,12,Departing,x,x
2021-04-19 20:14:15.990,10,200192,25SQCMICSBB3E7D003D3D,,DPC,2021-04-19 20:14:05.000,2021-04-19 20:14:10.100,11,Departing,x,x
2021-04-19 20:14:31.021,10,200192,25SQCMICSBB5679003565,,DPC,2021-04-19 20:14:19.100,2021-04-19 20:14:21.200,7,Unknown,,x
2021-04-19 20:14:46.068,10,200192,25SQCMICSBB5679003565,,DPC,2021-04-19 20:14:32.200,2021-04-19 20:14:43.000,14,Arriving,x,x
2021-04-19 20:15:01.177,10,200192,25SQCMICSBB5679003565,,DPC,2021-04-19 20:14:56.200,2021-04-19 20:14:57.100,2,Unknown,x,
2021-04-19 20:15:16.209,10,200192,25SQCMICSBB5679003565,,DPC,2021-04-19 20:15:04.400,2021-04-19 20:15:04.400,1,Unknown,x,
2021-04-19 20:15:46.365,10,200192,25SQCMICSBB5679003565,,DPC,2021-04-19 20:15:32.100,2021-04-19 20:15:40.800,28,Arriving,x,x
2021-04-19 20:16:16.459,10,200192,25SQCMICSBB0A89003571,,DPC,2021-04-19 20:16:14.900,2021-04-19 20:16:15.200,2,Unknown,,x
